edad,ingreso_mensual,talla_cm,peso_kg,temperatura_c,frecuencia_cardiaca,sensor_defectuoso,ciudad_Guadalajara,ciudad_Monterrey,ciudad_Puebla,ciudad_Toluca,tipo_servicio_estandar,tipo_servicio_premium,nivel_bajo,nivel_medio
-0.7,0.8232880225698898,-1.725919576628131,0.18754510318331763,-0.1507328706914822,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.1,-0.9575788663759939,0.0,1.0931622422464375,-1.8800372738177624,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.2,0.0,-0.2127827934245601,-0.6564353988292098,0.6055171701466358,-0.7573111019504496,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,-0.6089766606822262,-1.2915114224998583,1.2335733026316738,0.0,-0.3517822137129617,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-2.1,3.0817132598102077,-0.2847673158629675,-0.46675322353535154,10.428573569157813,-0.07535852379867752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,-0.40553988202103103,-0.102241362835147,-2.0785164097980915,-0.5358319909000699,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.4,0.0,1.2125721856710834,0.0,-1.2554702883437818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-0.5,-0.9481405488586817,-0.13748427787031664,0.0,0.6805516460975363,-0.3989691589255735,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
-0.9,2.0242113362400618,0.4375257946695124,0.31253872924839937,-0.9693075783838391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.1,0.3458322646832521,1.5455102177681264,0.18101773046381353,-0.07936681235038588,-0.9042871577586894,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1.2,-0.5128494485765581,0.0,0.6800094012361427,0.08078930142948172,0.0,-1.192558792,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.3,0.558194408822775,-0.42361725881045637,-0.290377681841,0.3894452968878129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.1,0.5297768658630418,0.0,2.0373806106279413,1.0688183602405534,0.35357442795669347,1.05962497,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2.4,-0.8918184149781996,-0.8600885129806887,0.4464801639560987,2.0484127980094344,0.9912460911927917,0.974488207,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
